	0	1
0	326.1	122095.0
1	339.9	111771.0
2	351.1	60817.0
3	354.1	94638.0
4	358.3	69098.0
5	361.3	96982.0
6	368.0	80302.0
7	382.3	50097.0
8	395.9	92585.0
9	414.5	53422.0
10	419.8	31275.0
11	436.2	72376.0
12	440.3	105213.0
13	442.3	65712.0
14	447.4	50161.0
15	453.1	45756.0
16	457.0	35569.0
17	458.4	301294.0
18	459.2	55526.0
19	465.2	66318.0
20	467.1	139167.0
21	473.3	110864.0
22	475.5	172539.0
23	477.3	27454.0
24	486.2	43478.0
25	491.7	19983.0
26	493.5	73178.0
27	494.1	56540.0
28	499.0	64971.0
29	506.1	45588.0
30	510.2	54341.0
31	512.0	76225.0
32	515.1	27438.0
33	520.4	53385.0
34	522.2	51700.0
35	529.4	60836.0
36	531.0	24524.0
37	540.1	44815.0
38	544.1	43420.0
39	546.4	215804.0
40	548.2	51372.0
41	554.0	143092.0
42	555.2	60423.0
43	556.5	38914.0
44	557.3	81474.0
45	564.2	173913.0
46	564.3	79074.0
47	565.4	88793.0
48	566.3	147328.0
49	567.1	30076.0
50	582.1	125159.0
51	582.7	109298.0
52	583.4	38742.0
53	599.1	63273.0
54	605.5	41375.0
55	613.2	73690.0
56	617.5	45434.0
57	623.1	35836.0
58	625.9	56543.0
59	634.4	74273.0
60	642.2	77360.0
61	646.3	58459.0
62	659.2	76760.0
63	661.9	47952.0
64	679.9	67439.0
65	684.9	85950.0
66	688.5	79347.0
67	694.2	50504.0
68	696.4	367308.0
69	697.6	111032.0
70	705.5	104236.0
71	712.2	58222.0
72	714.2	73175.0
73	722.5	232657.0
74	729.9	135740.0
75	739.3	326151.0
76	746.5	66717.0
77	756.5	981763.0
78	757.5	410536.0
79	758.5	23965.0
80	763.0	46178.0
81	775.3	30680.0
82	781.6	69481.0
83	794.6	68750.0
84	799.4	88883.0
85	814.2	39893.0
86	819.7	25447.0
87	823.3	47790.0
88	826.0	28343.0
89	827.3	116169.0
90	834.3	39037.0
91	843.5	112391.0
92	844.6	136926.0
93	858.7	79794.0
94	862.6	29511.0
95	867.5	31673.0
96	869.3	35571.0
97	872.2	63264.0
98	879.7	55058.0
99	885.8	1078052.0
100	887.5	495926.0
101	895.5	83799.0
102	902.7	95492.0
103	902.8	206175.0
104	903.5	30389248.0
105	903.6	28900096.0
106	904.5	11919616.0
107	904.6	10542080.0
108	905.5	4662656.0
109	915.3	46839.0
110	954.6	55270.0
111	956.0	45890.0
112	956.8	96771.0
113	957.2	196543.0
114	958.3	34320.0
115	958.4	67905.0
116	960.0	88021.0
117	960.7	139949.0
118	964.9	81616.0
119	967.2	38213.0
120	973.2	36065.0
121	974.4	34597.0
122	975.8	264639.0
123	976.6	51444.0
124	977.4	132478.0
125	983.7	49895.0
126	984.4	501645.0
127	909.8	580.4
128	348.5	756.3
129	630.6	783.1
130	402.5	721.8
131	891.6	505.9
132	696.4	879.5
133	846.6	966.6
134	688.8	649.9
135	841.2	644.7
136	557.5	379.2
137	928.2	480.4
138	741.8	726.9
139	968.7	515.9
140	890.7	845.5
141	588.2	518.4
142	684.2	495.1
143	845.2	346.2
144	948.5	370.6
145	823.1	747.0
146	331.5	333.1
147	622.7	836.5
148	479.5	345.9
149	358.2	807.6
150	982.9	982.0
151	612.3	580.1
152	635.7	841.2
153	503.3	916.6
154	595.7	470.2
155	335.1	948.4
156	526.3	605.5
157	700.7	823.3
158	361.5	580.2
159	582.5	516.8
160	857.6	502.0
161	448.3	888.4
162	659.6	852.5
163	383.1	610.3
164	452.4	481.4
165	840.8	368.6
166	497.9	500.9
167	557.7	739.8
168	426.3	638.4
169	806.4	627.3
170	604.2	737.9
171	418.3	658.5
172	838.4	524.1
173	330.8	795.2
174	513.0	847.1
175	442.8	899.0
176	736.8	337.5
177	834.0	433.7
178	512.7	675.3
179	788.4	457.5
180	487.0	578.8
181	491.9	979.8
182	865.1	602.8
183	694.2	403.2
184	609.1	756.8
185	692.1	489.2
186	344.8	820.4
187	632.9	708.4
188	436.7	433.2
189	847.8	406.4
190	475.1	918.9
191	503.0	418.7
192	885.0	454.6
193	739.3	511.1
194	371.2	556.2
195	731.7	643.7
196	764.3	371.5
197	912.9	655.2
198	543.6	760.8
199	607.6	552.7
200	615.4	784.6
201	828.3	873.9
202	456.8	983.9
203	805.4	372.6
204	356.3	776.0
205	373.5	811.3
206	663.7	795.4
207	454.4	569.4
208	961.1	763.3
209	641.7	761.7
210	406.8	475.1
